ref_date,gender,empl,emplFull,emplPart,emplRate,labForce,participRate,population,unempl,unemplRate
1978-07,Men+,6333.5,5920.3,413.2,72.1,6850.8,78.0,8781.5,517.4,7.6
1978-07,Total - Gender,10255.0,8849.7,1405.3,57.6,11188.4,62.9,17792.0,933.4,8.3
1978-07,Women+,3921.5,2929.4,992.2,43.5,4337.6,48.1,9010.5,416.0,9.6
1978-08,Men+,6349.5,5929.3,420.2,72.2,6879.4,78.2,8796.9,529.9,7.7
1978-08,Total - Gender,10287.5,8900.3,1387.2,57.7,11235.5,63.0,17824.4,948.0,8.4
1978-08,Women+,3938.0,2971.0,967.0,43.6,4356.1,48.3,9027.5,418.1,9.6
1978-09,Men+,6344.7,5946.1,398.6,72.0,6870.3,78.0,8809.3,525.6,7.7
1978-09,Total - Gender,10305.5,8941.4,1364.1,57.7,11252.7,63.0,17850.7,947.2,8.4
1978-09,Women+,3960.8,2995.3,965.5,43.8,4382.4,48.5,9041.4,421.6,9.6
1978-10,Men+,6380.6,5978.4,402.2,72.3,6890.3,78.1,8821.8,509.7,7.4
1978-10,Total - Gender,10368.8,9017.8,1351.0,58.0,11293.7,63.2,17876.8,924.8,8.2
1978-10,Women+,3988.2,3039.4,948.8,44.0,4403.3,48.6,9054.9,415.1,9.4
1978-11,Men+,6385.7,5982.4,403.3,72.3,6909.5,78.2,8834.0,523.7,7.6
1978-11,Total - Gender,10387.2,9024.7,1362.4,58.0,11332.9,63.3,17902.4,945.7,8.3
1978-11,Women+,4001.5,3042.3,959.2,44.1,4423.4,48.8,9068.4,422.0,9.5
1978-12,Men+,6402.8,6004.0,398.8,72.4,6914.4,78.2,8845.8,511.6,7.4
1978-12,Total - Gender,10428.3,9050.2,1378.1,58.2,11366.1,63.4,17927.3,937.8,8.3
1978-12,Women+,4025.5,3046.2,979.3,44.3,4451.7,49.0,9081.4,426.2,9.6
1979-01,Men+,6438.3,6026.4,411.9,72.7,6955.4,78.5,8860.8,517.2,7.4
1979-01,Total - Gender,10483.1,9074.6,1408.5,58.4,11421.2,63.6,17958.4,938.2,8.2
1979-01,Women+,4044.8,3048.2,996.6,44.5,4465.8,49.1,9097.6,421.0,9.4
1979-02,Men+,6430.8,6041.4,389.4,72.5,6940.9,78.2,8875.3,510.1,7.3
1979-02,Total - Gender,10490.0,9100.5,1389.5,58.3,11407.3,63.4,17989.1,917.3,8.0
1979-02,Women+,4059.3,3059.2,1000.1,44.5,4466.4,49.0,9113.9,407.1,9.1
1979-03,Men+,6462.1,6057.0,405.1,72.7,6964.1,78.4,8887.3,502.1,7.2
1979-03,Total - Gender,10535.9,9113.1,1422.8,58.5,11440.8,63.5,18014.3,904.9,7.9
1979-03,Women+,4073.8,3056.1,1017.7,44.6,4476.7,49.0,9127.0,402.9,9.0
1979-04,Men+,6477.0,6065.4,411.6,72.7,6986.5,78.5,8903.1,509.5,7.3
1979-04,Total - Gender,10560.8,9129.5,1431.4,58.5,11474.9,63.6,18047.3,914.1,8.0
1979-04,Women+,4083.9,3064.1,1019.8,44.7,4488.4,49.1,9144.3,404.6,9.0
1979-05,Men+,6518.9,6080.8,438.2,73.1,7001.8,78.5,8915.7,482.9,6.9
1979-05,Total - Gender,10611.4,9136.1,1475.3,58.7,11483.2,63.5,18073.7,871.8,7.6
1979-05,Women+,4092.4,3055.3,1037.1,44.7,4481.4,48.9,9158.0,389.0,8.7
1979-06,Men+,6531.5,6104.8,426.7,73.2,6989.7,78.3,8928.7,458.3,6.6
1979-06,Total - Gender,10645.4,9190.2,1455.2,58.8,11496.1,63.5,18101.0,850.7,7.4
1979-06,Women+,4113.9,3085.4,1028.5,44.9,4506.4,49.1,9172.3,392.4,8.7
1979-07,Men+,6550.7,6112.9,437.9,73.2,6993.3,78.2,8943.9,442.5,6.3
1979-07,Total - Gender,10702.1,9222.6,1479.5,59.0,11537.0,63.6,18133.4,834.9,7.2
1979-07,Women+,4151.4,3109.8,1041.7,45.2,4543.8,49.4,9189.4,392.4,8.6
1979-08,Men+,6559.0,6121.5,437.4,73.2,6994.4,78.1,8957.2,435.4,6.2
1979-08,Total - Gender,10742.1,9246.3,1495.8,59.1,11563.8,63.7,18161.4,821.7,7.1
1979-08,Women+,4183.1,3124.8,1058.3,45.4,4569.4,49.6,9204.2,386.3,8.5
1979-09,Men+,6577.5,6127.3,450.1,73.3,7010.5,78.2,8970.4,433.0,6.2
1979-09,Total - Gender,10756.5,9246.8,1509.7,59.1,11569.1,63.6,18189.4,812.5,7.0
1979-09,Women+,4179.0,3119.5,1059.6,45.3,4558.5,49.4,9218.9,379.5,8.3
1979-10,Men+,6587.9,6151.1,436.8,73.3,7036.2,78.3,8987.9,448.3,6.4
1979-10,Total - Gender,10809.0,9296.6,1512.4,59.3,11652.2,63.9,18226.0,843.2,7.2
1979-10,Women+,4221.0,3145.5,1075.6,45.7,4616.0,50.0,9238.1,395.0,8.6
1979-11,Men+,6602.0,6162.6,439.4,73.3,7054.2,78.4,9001.7,452.2,6.4
1979-11,Total - Gender,10841.3,9322.7,1518.5,59.4,11678.1,64.0,18255.2,836.8,7.2
1979-11,Women+,4239.3,3160.1,1079.1,45.8,4623.9,50.0,9253.5,384.7,8.3
1979-12,Men+,6608.9,6164.4,444.5,73.3,7074.5,78.5,9015.3,465.5,6.6
1979-12,Total - Gender,10859.9,9340.8,1519.1,59.4,11708.1,64.0,18283.8,848.1,7.2
1979-12,Women+,4251.0,3176.5,1074.6,45.9,4633.6,50.0,9268.4,382.6,8.3
1980-01,Men+,6609.8,6175.2,434.6,73.2,7092.3,78.5,9031.6,482.6,6.8
1980-01,Total - Gender,10882.6,9360.5,1522.1,59.4,11760.1,64.2,18317.9,877.5,7.5
1980-01,Women+,4272.8,3185.3,1087.5,46.0,4667.8,50.3,9286.3,395.0,8.5
1980-02,Men+,6631.4,6177.1,454.3,73.3,7128.4,78.8,9045.0,496.9,7.0
1980-02,Total - Gender,10902.9,9375.4,1527.6,59.4,11796.9,64.3,18346.4,894.0,7.6
1980-02,Women+,4271.5,3198.2,1073.3,45.9,4668.5,50.2,9301.4,397.0,8.5
1980-03,Men+,6606.4,6158.9,447.5,72.9,7108.4,78.5,9057.9,502.0,7.1
1980-03,Total - Gender,10897.8,9358.5,1539.3,59.3,11798.9,64.2,18373.9,901.0,7.6
1980-03,Women+,4291.4,3199.6,1091.8,46.1,4690.5,50.3,9316.0,399.1,8.5
1980-04,Men+,6610.6,6161.9,448.7,72.9,7119.7,78.5,9073.9,509.1,7.2
1980-04,Total - Gender,10938.3,9380.1,1558.3,59.4,11846.7,64.4,18407.7,908.3,7.7
1980-04,Women+,4327.7,3218.1,1109.6,46.4,4727.0,50.6,9333.8,399.3,8.4
1980-05,Men+,6581.2,6143.7,437.5,72.4,7096.5,78.1,9087.9,515.3,7.3
1980-05,Total - Gender,10891.6,9351.0,1540.6,59.1,11815.5,64.1,18437.0,923.9,7.8
1980-05,Women+,4310.4,3207.3,1103.1,46.1,4718.9,50.5,9349.1,408.5,8.7
1980-06,Men+,6605.7,6160.5,445.1,72.5,7120.6,78.2,9105.5,514.9,7.2
1980-06,Total - Gender,10936.8,9379.9,1556.9,59.2,11855.1,64.2,18474.1,918.3,7.7
1980-06,Women+,4331.1,3219.4,1111.7,46.2,4734.5,50.5,9368.6,403.4,8.5
1980-07,Men+,6595.5,6155.9,439.5,72.3,7104.4,77.9,9118.3,508.9,7.2
1980-07,Total - Gender,10935.0,9373.5,1561.5,59.1,11840.6,64.0,18501.1,905.6,7.6
1980-07,Women+,4339.5,3217.6,1122.0,46.3,4736.2,50.5,9382.7,396.6,8.4
1980-08,Men+,6619.8,6167.0,452.8,72.5,7125.4,78.0,9131.6,505.5,7.1
1980-08,Total - Gender,10970.3,9397.7,1572.5,59.2,11878.1,64.1,18529.0,907.9,7.6
1980-08,Women+,4350.4,3230.7,1119.7,46.3,4752.8,50.6,9397.5,402.3,8.5
1980-09,Men+,6659.8,6192.0,467.9,72.8,7149.2,78.1,9148.2,489.4,6.8
1980-09,Total - Gender,11051.9,9439.8,1612.1,59.5,11928.1,64.3,18564.0,876.2,7.3
1980-09,Women+,4392.0,3247.8,1144.2,46.6,4778.9,50.8,9415.8,386.8,8.1
1980-10,Men+,6668.6,6204.5,464.1,72.8,7153.9,78.1,9161.2,485.3,6.8
1980-10,Total - Gender,11083.1,9476.3,1606.8,59.6,11956.2,64.3,18591.5,873.1,7.3
1980-10,Women+,4414.4,3271.8,1142.7,46.8,4802.3,50.9,9430.3,387.8,8.1
1980-11,Men+,6707.9,6241.1,466.8,73.1,7191.0,78.4,9173.5,483.1,6.7
1980-11,Total - Gender,11127.0,9499.3,1627.7,59.8,11984.7,64.4,18617.4,857.7,7.2
1980-11,Women+,4419.1,3258.2,1160.9,46.8,4793.8,50.8,9443.9,374.6,7.8
1980-12,Men+,6719.1,6267.2,451.9,73.2,7209.1,78.5,9185.3,490.0,6.8
1980-12,Total - Gender,11140.0,9557.8,1582.2,59.8,12014.1,64.4,18642.6,874.1,7.3
1980-12,Women+,4420.9,3290.6,1130.3,46.7,4805.0,50.8,9457.3,384.1,8.0
1981-01,Men+,6755.4,6282.4,473.0,73.4,7254.5,78.9,9199.1,499.1,6.9
1981-01,Total - Gender,11206.5,9592.5,1614.1,60.0,12098.8,64.8,18671.8,892.3,7.4
1981-01,Women+,4451.2,3310.1,1141.1,47.0,4844.3,51.1,9472.7,393.1,8.1
1981-02,Men+,6775.1,6288.9,486.2,73.5,7278.7,79.0,9212.6,503.6,6.9
1981-02,Total - Gender,11283.3,9625.9,1657.4,60.3,12183.1,65.1,18700.6,899.8,7.4
1981-02,Women+,4508.2,3337.0,1171.3,47.5,4904.4,51.7,9488.1,396.2,8.1
1981-03,Men+,6777.8,6289.4,488.4,73.5,7284.7,79.0,9223.9,506.9,7.0
1981-03,Total - Gender,11278.7,9604.9,1673.8,60.2,12181.2,65.1,18725.0,902.4,7.4
1981-03,Women+,4500.9,3315.5,1185.4,47.4,4896.4,51.5,9501.1,395.5,8.1
