"educm","heightm","BMIm","healthm"
2,185,19.576334,4
2,176,24.212294,4
2,180,32.407406,4
2,178,23.671253,4
3,179,24.343809,3
3,187,21.447567,4
2,181,24.72452,3
3,187,29.168692,3
2,180,24.074074,1
3,175,24.163265,4
2,161,26.233557,4
2,181,26.250725,3
2,190,22.714682,3
2,187,21.733536,4
2,183,20.902386,4
2,178,22.408787,4
2,182,26.566839,2
2,182,23.54788,4
2,191,24.396261,3
2,172,27.379665,2
1,173,23.722811,4
2,190,20.775623,3
2,181,20.756388,3
2,178,22.724403,3
1,178,23.671253,3
2,172,24.675501,3
2,176,23.243801,4
2,189,22.115843,4
2,173,21.718065,4
2,198,23.466993,3
1,184,22.152647,2
2,178,25.249338,4
1,181,27.166449,3
3,187,23.163374,3
2,175,24.489796,3
2,180,29.629629,3
2,176,25.826447,3
2,172,22.309357,4
2,178,23.355637,4
2,185,21.329437,3
1,185,27.757486,4
3,176,29.700413,2
2,180,27.469135,2
1,183,31.353579,2
1,168,28.344671,3
1,168,26.57313,3
2,190,22.714682,3
2,178,26.827421,3
1,182,28.680111,3
2,198,23.977144,4
3,173,26.729927,3
2,190,22.160666,4
3,192,24.685329,4
3,173,24.725183,4
2,183,20.902386,3
2,182,27.774424,3
2,182,24.151672,3
2,184,28.946125,4
2,174,24.772097,4
3,183,24.485653,3
1,176,27.440599,3
2,180,24.691359,2
2,182,22.642193,4
2,175,22.857143,3
1,182,23.245985,4
2,195,23.668638,4
2,176,19.369835,3
2,173,30.071169,2
2,178,24.93372,4
2,194,24.444681,3
2,181,23.503555,4
2,185,25.420015,4
2,178,19.883854,3
2,178,22.724403,3
2,176,24.212294,4
3,192,20.887587,3
2,180,24.074074,3
2,182,22.642193,3
2,192,23.057726,4
2,195,28.665352,3
2,183,23.888441,3
2,190,22.99169,3
3,185,23.374725,3
2,184,24.220226,3
2,179,18.101807,2
2,193,19.866304,4
3,184,21.561909,3
3,187,27.16692,3
2,176,24.857954,4
2,170,27.681662,3
1,173,24.056934,2
2,180,27.469135,2
2,178,22.724403,3
2,187,21.733536,3
1,187,27.738855,3
2,187,24.307243,4
3,181,25.945484,2
2,182,25.05736,4
2,176,26.472107,4
2,186,24.569315,3
2,183,20.902386,3
2,177,27.131413,3
1,186,24.858366,3
2,176,30.668905,4
3,189,23.795527,3
2,187,23.449341,3
2,185,26.296566,3
3,204,20.665129,3
2,176,35.511364,3
2,178,22.09317,4
3,189,25.195263,3
1,171,29.410759,2
2,197,32.209023,3
2,183,23.589836,4
3,186,23.991213,4
2,194,24.710384,3
2,180,23.456791,3
1,186,27.459822,3
2,189,25.195263,4
2,197,26.540236,3
2,172,25.351542,2
2,184,22.448015,3
2,178,24.618103,3
2,176,19.369835,3
2,186,25.436466,3
2,176,23.243801,2
2,176,24.535124,3
1,185,24.835646,4
3,186,22.256908,4
2,180,24.382715,4
2,178,28.721121,4
2,174,21.469151,4
2,175,29.061224,2
2,186,26.88172,4
2,172,18.253109,4
2,178,27.458654,3
2,160,19.53125,4
2,170,21.453287,4
1,172,21.971336,1
2,189,22.955685,3
3,178,27.774271,3
3,180,21.604939,3
2,182,25.661152,4
2,180,24.691359,3
3,185,19.868517,4
2,190,24.930748,3
2,183,22.694019,3
2,180,27.777779,3
1,172,29.069767,2
2,184,21.266541,4
2,180,29.320988,3
2,176,25.826447,3
3,186,21.389755,3
2,177,21.066744,4
2,189,22.955685,3
2,170,25.951557,3
2,183,24.784258,3
2,185,26.296566,3
3,191,28.233875,4
2,175,23.836735,3
2,176,22.598141,3
2,188,24.898144,3
1,194,24.178978,3
1,190,20.498615,4
2,189,19.316368,3
1,182,22.944088,4
1,172,27.041645,3
1,188,22.634676,3
2,178,21.461937,4
2,172,22.985397,3
2,194,22.850462,3
1,180,25.308641,3
2,179,23.095409,3
2,174,21.799444,3
3,169,22.408178,4
3,194,21.256245,4
2,168,25.510204,3
1,196,21.605581,3
3,183,23.888441,3
2,193,24.69865,4
2,180,23.148148,4
2,180,23.148148,3
2,187,21.733536,4
2,176,27.117769,3
2,178,22.724403,3
2,182,23.849777,3
1,170,25.259516,4
1,176,27.76343,2
1,172,28.731747,3
2,185,24.251278,4
1,176,21.952478,3
1,184,26.583176,3
1,184,23.038752,4
1,194,26.570305,3
2,187,24.307243,3
2,188,24.049343,4
2,178,21.461937,4
3,184,18.312855,4
1,176,24.212294,4
3,191,22.203339,4
1,192,24.956596,4
2,177,21.70513,4
1,188,20.937075,2
1,186,22.545959,3
2,187,26.880951,3
2,185,24.835646,4
1,184,26.583176,3
2,191,22.477453,3
1,172,22.647377,3
1,170,30.103806,3
1,193,25.50404,4
3,181,22.282593,3
1,171,23.597004,4
3,181,23.808798,4
2,180,20.679012,3
3,187,22.877405,3
1,174,23.120625,2
3,183,25.680075,3
2,185,24.835646,3
1,180,28.395061,3
1,174,21.469151,3
2,193,27.383286,3
2,185,23.374725,4
1,180,23.148148,3
1,167,23.306681,3
2,189,29.954369,3
1,184,22.152647,4
2,184,22.152647,4
2,178,26.511805,3
2,189,20.436157,3
1,185,24.835646,3
2,182,24.151672,3
2,188,23.766411,3
1,192,24.142796,3
1,181,27.166449,3
2,191,23.573915,4
1,171,25.306932,3
2,175,29.387754,4
2,178,24.302486,3
1,170,26.98962,4
2,178,23.671253,4
2,185,23.374725,3
1,180,24.691359,4
2,182,24.151672,3
2,172,22.309357,3
2,182,22.642193,3
2,189,29.114527,2
2,182,26.566839,3
1,176,25.826447,3
2,195,22.090731,3
1,186,23.702162,3
2,180,29.320988,3
3,195,22.879684,4
2,187,24.307243,3
3,188,25.746944,3
2,189,27.434843,3
1,178,23.98687,3
2,178,20.515087,4
2,186,21.389755,3
2,176,22.598141,3
2,183,23.291229,3
2,170,26.297577,3
2,182,25.359257,3
2,185,21.913805,3
3,187,36.603848,2
2,178,22.09317,3
1,176,24.857954,3
1,168,21.967121,4
3,180,23.456791,4
2,190,34.34903,3
2,190,27.70083,4
1,191,25.218607,3
1,187,24.307243,3
2,182,24.453568,4
2,199,23.231737,2
2,165,25.344353,3
1,198,21.681461,4
1,180,25.308641,3
1,174,25.432686,4
1,178,22.408787,2
2,183,19.409359,2
2,178,21.14632,4
1,182,26.868736,4
1,185,24.835646,3
2,173,30.739416,3
1,191,24.670376,4
2,178,22.09317,4
2,184,24.515596,3
2,172,22.985397,3
1,192,20.61632,4
1,189,21.276001,4
2,170,25.259516,3
2,178,24.618103,4
2,191,24.944492,3
2,185,24.835646,4
2,192,27.669271,3
2,187,20.303698,3
2,175,24.489796,4
2,196,24.729279,3
2,182,24.755465,3
3,172,22.985397,3
2,172,23.323418,3
1,173,25.727554,2
3,182,20.528921,3
2,184,23.334122,3
2,181,21.67211,4
2,172,27.379665,3
2,182,31.095278,3
2,176,30.023243,3
2,175,20.244898,4
2,180,21.604939,3
2,184,32.490547,4
2,184,20.380434,3
2,185,28.634039,4
2,191,30.700912,4
1,183,23.291229,4
2,171,26.674875,4
2,180,23.148148,3
1,182,26.566839,3
2,184,25.106333,4
2,192,27.940538,3
2,183,24.784258,3
2,175,22.857143,3
2,176,23.566631,4
1,189,29.394474,3
2,182,22.340298,4
1,182,24.151672,3
2,182,22.038401,4
2,176,23.889463,4
1,190,29.916897,3
2,185,24.835646,3
3,187,23.449341,2
2,191,20.558647,2
2,186,20.811655,3
2,178,23.671253,4
2,187,22.019503,3
3,186,24.858366,3
2,170,24.913494,3
2,177,25.854639,4
1,187,23.449341,2
1,193,22.819405,4
2,185,26.588751,2
2,189,26.315052,3
1,186,24.569315,3
1,185,23.374725,3
2,179,28.08901,3
2,187,22.019503,2
2,183,23.888441,3
1,185,23.959095,4
2,180,22.839506,4
2,189,25.195263,3
2,184,23.62949,2
2,180,20.679012,3
2,175,20.897959,4
2,185,20.452885,3
2,183,23.291229,4
2,180,21.91358,3
1,176,29.054752,3
1,170,20.415224,3
2,186,20.233553,4
1,179,28.401112,2
3,185,23.66691,3
2,182,28.680111,3
2,192,25.499132,4
1,181,23.808798,4
2,173,21.718065,3
2,194,26.304602,3
2,174,28.405338,4
2,184,19.789698,3
1,185,30.679329,4
2,169,23.458563,4
2,197,25.76722,4
2,171,26.33289,4
2,193,19.597841,4
2,196,19.783424,3
2,190,20.498615,3
2,179,21.534908,4
3,184,27.76465,4
1,189,21.276001,3
2,185,26.880936,3
2,200,28.75,3
2,180,25.617285,3
2,176,20.983988,3
2,181,23.198315,3
1,167,19.721037,4
3,180,24.691359,1
3,195,23.668638,3
2,191,24.670376,3
3,176,26.472107,4
2,187,22.019503,3
2,190,26.869806,4
1,185,24.835646,3
1,176,20.338326,4
2,180,25.925926,3
1,175,22.857143,4
1,172,21.971336,4
2,169,26.959841,2
2,197,22.932825,4
3,172,22.647377,3
2,193,30.067921,3
2,176,27.440599,3
2,184,26.878544,3
1,192,23.057726,4
2,192,28.483072,4
2,183,23.888441,3
2,174,26.423571,3
1,181,27.471689,3
2,180,27.777779,2
1,183,27.770313,2
2,182,22.340298,3
2,173,24.725183,3
1,176,24.857954,3
2,194,22.584759,3
2,188,23.200542,3
2,177,27.450605,2
2,178,24.302486,3
2,172,23.661438,3
1,181,25.02976,3
2,175,20.571428,3
2,194,19.130619,4
1,184,26.287807,4
2,173,23.388687,4
3,169,25.909456,3
2,193,27.651749,3
2,176,22.598141,3
2,176,30.023243,4
2,180,26.851852,1
2,205,17.13266,4
2,184,26.583176,3
2,176,26.794937,3
2,186,23.702162,3
2,186,26.014568,3
2,180,25,4
2,176,28.08626,3
2,183,23.888441,4
1,181,25.640244,3
2,180,26.543209,4
2,189,25.195263,3
2,172,21.971336,2
2,187,22.877405,3
2,187,28.024822,4
2,175,31.020409,3
2,182,28.680111,3
2,183,23.291229,3
2,178,24.302486,4
2,174,24.772097,4
2,165,25.344353,3
1,178,23.355637,2
2,175,24.163265,3
2,167,24.740938,3
2,180,26.851852,3
2,191,23.573915,3
2,185,24.543463,3
2,185,29.218407,3
2,183,23.888441,3
2,178,22.724403,3
3,175,27.102041,3
2,174,29.726517,3
3,190,22.437674,3
2,186,22.256908,4
2,185,24.251278,4
2,176,27.440599,3
2,184,22.448015,3
1,176,24.212294,3
1,180,26.234568,4
2,187,19.731762,3
2,176,27.117769,3
2,172,27.041645,3
2,185,21.621622,3
2,167,18.645344,3
2,183,22.096807,4
2,176,25.826447,3
1,182,24.453568,4
2,184,21.857279,4
2,186,22.835011,3
2,197,19.325415,3
1,185,24.835646,2
1,177,31.919308,4
2,190,26.592798,4
2,185,24.835646,3
2,180,26.234568,3
2,176,22.275311,4
3,189,25.755157,3
2,187,28.024822,3
2,175,23.510204,3
1,187,23.163374,4
3,196,19.783424,4
2,170,25.605536,3
2,189,29.394474,3
2,180,27.469135,4
2,187,29.740627,2
2,185,27.173119,2
2,170,28.373703,1
2,189,22.39579,4
2,180,24.691359,3
2,174,24.111507,4
2,183,32.249393,3
2,187,24.307243,3
2,183,23.888441,3
2,168,23.738663,3
2,180,23.456791,4
2,175,26.12245,2
1,170,26.98962,3
2,192,26.584202,2
2,186,23.413111,3
2,200,26,3
2,183,19.110752,4
2,188,29.425079,3
2,186,20.811655,3
2,178,24.302486,4
3,191,22.477453,3
2,187,24.307243,3
1,173,26.729927,2
2,187,37.175785,3
1,185,23.082542,3
2,193,24.967113,4
1,193,20.134769,3
2,196,22.126198,4
1,187,26.309017,4
2,180,30.246914,2
1,186,24.569315,4
3,182,19.623234,4
2,175,22.857143,3
3,179,24.03171,1
2,186,27.748873,3
2,196,24.729279,4
2,175,21.87755,3
3,172,26.027582,3
2,189,22.955685,3
3,197,21.386791,4
1,176,22.920971,3
2,178,26.511805,3
2,172,30.42185,4
2,183,26.874496,3
2,185,24.251278,4
2,182,20.528921,4
3,188,26.312811,2
2,180,27.777779,3
1,176,25.826447,2
2,193,30.336386,3
2,194,26.570305,3
2,187,30.026594,3
2,176,27.117769,4
2,190,21.052631,3
2,175,23.510204,4
2,169,25.909456,4
2,195,18.408941,3
2,186,26.303619,2
2,198,25.507601,3
2,168,20.549887,3
2,182,26.264944,3
3,174,21.799444,3
3,183,25.97868,3
2,192,24.956596,4
2,184,21.266541,2
2,192,28.483072,4
2,190,24.099724,3
1,190,30.470915,3
